State,Total_Shootings,Unarmed_Shootings_%,Black_Victims_%,Unarmed_Black_Victims_%,White_Victims_%,Unarmed_White_Victims_%,Hispanic_Victims_%,Unarmed_Hispanic_Victims_%,Latitude,Longitude
Alabama,95.0,4.2105263157894735,32.631578947368425,2.1052631578947367,66.3157894736842,2.1052631578947367,1.0526315789473684,0.0,32.7794,-86.8287
Alaska,36.0,8.333333333333332,8.333333333333332,0.0,61.111111111111114,8.333333333333332,0.0,0.0,64.0685,-152.2782
Arizona,222.0,7.207207207207207,7.657657657657657,1.3513513513513513,49.0990990990991,3.6036036036036037,37.38738738738739,2.2522522522522523,34.2744,-111.6602
Arkansas,73.0,4.10958904109589,35.61643835616438,2.73972602739726,63.013698630136986,1.36986301369863,0.0,0.0,34.8938,-92.4426
California,701.0,8.131241084165477,17.4037089871612,1.8544935805991443,31.526390870185452,1.9971469329529243,45.07845934379458,3.851640513552068,37.1841,-119.4696
Colorado,168.0,5.357142857142857,10.714285714285714,0.5952380952380952,54.166666666666664,2.976190476190476,28.57142857142857,1.1904761904761905,38.9972,-105.5478
Connecticut,20.0,10.0,15.0,0.0,55.00000000000001,5.0,30.0,5.0,41.6219,-72.7273
Delaware,10.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,38.9896,-75.505
District of Columbia,13.0,7.6923076923076925,92.3076923076923,7.6923076923076925,7.6923076923076925,0.0,0.0,0.0,38.9101,-77.0147
Florida,324.0,8.333333333333332,34.25925925925926,5.555555555555555,48.148148148148145,1.8518518518518516,15.74074074074074,0.6172839506172839,28.6305,-82.4497
Georgia,161.0,9.316770186335404,44.099378881987576,4.968944099378882,47.82608695652174,3.1055900621118013,5.590062111801243,1.2422360248447204,32.6415,-83.4426
Hawaii,29.0,6.896551724137931,3.4482758620689653,0.0,10.344827586206897,0.0,3.4482758620689653,0.0,20.2927,-156.3737
Idaho,37.0,2.7027027027027026,2.7027027027027026,2.7027027027027026,81.08108108108108,0.0,13.513513513513514,0.0,44.3509,-114.613
Illinois,99.0,5.05050505050505,58.58585858585859,2.0202020202020203,28.28282828282828,2.0202020202020203,13.131313131313133,1.0101010101010102,40.0417,-89.1965
Indiana,91.0,5.4945054945054945,32.967032967032964,2.197802197802198,62.637362637362635,3.296703296703297,4.395604395604396,0.0,39.8942,-86.2816
Iowa,31.0,6.451612903225806,22.58064516129032,0.0,77.41935483870968,6.451612903225806,0.0,0.0,42.0751,-93.49600000000001
Kansas,49.0,8.16326530612245,12.244897959183673,0.0,69.38775510204081,6.122448979591836,16.3265306122449,2.0408163265306123,38.4937,-98.3804
Kentucky,87.0,3.4482758620689653,17.24137931034483,1.1494252873563218,77.01149425287356,2.2988505747126435,3.4482758620689653,0.0,37.5347,-85.3021
Louisiana,102.0,9.803921568627452,58.82352941176471,7.8431372549019605,38.23529411764706,1.9607843137254901,0.9803921568627451,0.0,31.0689,-91.9968
Maine,21.0,4.761904761904762,4.761904761904762,0.0,85.71428571428571,4.761904761904762,4.761904761904762,0.0,45.3695,-69.2428
Maryland,77.0,10.38961038961039,61.038961038961034,7.792207792207792,33.76623376623377,2.5974025974025974,3.896103896103896,0.0,39.055,-76.7909
Massachusetts,33.0,3.0303030303030303,24.242424242424242,0.0,51.515151515151516,3.0303030303030303,21.21212121212121,0.0,42.2596,-71.8083
Michigan,71.0,11.267605633802818,33.80281690140845,4.225352112676056,60.56338028169014,5.633802816901409,2.8169014084507045,0.0,44.3467,-85.4102
Minnesota,60.0,10.0,16.666666666666664,1.6666666666666667,61.66666666666667,8.333333333333332,5.0,0.0,46.2807,-94.3053
Mississippi,61.0,9.836065573770492,37.704918032786885,3.278688524590164,59.01639344262295,6.557377049180328,1.639344262295082,0.0,32.7364,-89.6678
Missouri,124.0,7.258064516129033,38.70967741935484,1.6129032258064515,58.06451612903226,5.64516129032258,2.4193548387096775,0.0,38.3566,-92.458
Montana,29.0,0.0,0.0,0.0,86.20689655172413,0.0,0.0,0.0,47.0527,-109.6333
Nebraska,24.0,8.333333333333332,20.833333333333336,0.0,66.66666666666666,8.333333333333332,8.333333333333332,0.0,41.5378,-99.7951
Nevada,85.0,3.5294117647058822,17.647058823529413,1.1764705882352942,45.88235294117647,0.0,32.94117647058823,2.3529411764705883,39.3289,-116.6312
New Hampshire,12.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,43.6805,-71.5811
New Jersey,60.0,8.333333333333332,50.0,6.666666666666667,35.0,1.6666666666666667,13.333333333333334,0.0,40.1907,-74.6728
New Mexico,93.0,6.451612903225806,1.0752688172043012,1.0752688172043012,27.956989247311824,1.0752688172043012,68.81720430107528,4.301075268817205,34.4071,-106.1126
New York,90.0,4.444444444444445,51.11111111111111,3.3333333333333335,38.88888888888889,1.1111111111111112,8.88888888888889,0.0,42.9538,-75.5268
North Carolina,148.0,2.7027027027027026,34.45945945945946,0.0,59.45945945945946,2.7027027027027026,5.405405405405405,0.0,35.5557,-79.3877
North Dakota,11.0,18.181818181818183,0.0,0.0,54.54545454545454,18.181818181818183,0.0,0.0,47.4501,-100.4659
Ohio,146.0,8.904109589041095,38.35616438356164,1.36986301369863,57.534246575342465,6.8493150684931505,0.684931506849315,0.0,40.2862,-82.7937
Oklahoma,151.0,9.271523178807946,21.192052980132452,1.9867549668874174,66.22516556291392,5.298013245033113,5.960264900662252,0.6622516556291391,35.5889,-97.4943
Oregon,76.0,5.263157894736842,9.210526315789473,0.0,82.89473684210526,3.9473684210526314,7.894736842105263,1.3157894736842104,43.9336,-120.5583
Pennsylvania,95.0,10.526315789473683,44.21052631578947,4.2105263157894735,49.473684210526315,4.2105263157894735,6.315789473684211,2.1052631578947367,40.8781,-77.7996
Rhode Island,4.0,0.0,50.0,0.0,25.0,0.0,25.0,0.0,41.6762,-71.5562
South Carolina,80.0,2.5,33.75,1.25,62.5,1.25,2.5,0.0,33.9169,-80.8964
South Dakota,14.0,7.142857142857142,0.0,0.0,71.42857142857143,7.142857142857142,0.0,0.0,44.4443,-100.2263
Tennessee,125.0,4.0,24.8,2.4,71.2,1.6,2.4,0.0,35.858000000000004,-86.3505
Texas,426.0,8.92018779342723,23.239436619718308,3.5211267605633805,41.07981220657277,3.5211267605633805,33.33333333333333,1.8779342723004695,31.4757,-99.3312
Utah,58.0,3.4482758620689653,12.068965517241379,0.0,62.06896551724138,3.4482758620689653,20.689655172413794,0.0,39.3055,-111.6703
Vermont,8.0,12.5,0.0,0.0,87.5,0.0,0.0,0.0,44.0687,-72.6658
Virginia,92.0,8.695652173913043,43.47826086956522,6.521739130434782,48.91304347826087,1.0869565217391304,4.3478260869565215,1.0869565217391304,37.5215,-78.8537
Washington,126.0,7.142857142857142,16.666666666666664,0.7936507936507936,52.38095238095239,2.380952380952381,16.666666666666664,1.5873015873015872,47.3826,-120.4472
West Virginia,46.0,2.1739130434782608,17.391304347826086,0.0,80.43478260869566,2.1739130434782608,0.0,0.0,38.6409,-80.6227
Wisconsin,88.0,5.681818181818182,22.727272727272727,3.4090909090909087,63.63636363636363,1.1363636363636365,6.8181818181818175,0.0,44.6243,-89.9941
Wyoming,13.0,7.6923076923076925,0.0,0.0,69.23076923076923,0.0,15.384615384615385,7.6923076923076925,42.9957,-107.5512
